,all,pinch1,five,pinch2,grab,pinch3,three,ok,pinch4,nine,four,pinch5,love,point,tim,thumbUp,pinch,eight,pinky,six,ringPinky,zero,middleFinger,two,rock,fist,ring,middle,mean
7,1.8052465226974164,1.7733954885647405,1.409192813633813,1.6568515504789771,2.137862339599577,1.6252606770974842,1.335067247677922,1.6105846716935173,1.4386828349349465,2.2965168758920154,1.7499629727967534,2.042716126551802,1.3947035655620013,1.8163911554279026,1.3575272749653924,1.8208982404492022,1.6507925910604977,1.7339764019546908,1.7711237540773186,2.1005478834257363,1.9329636310149794,2.0356301802325767,1.7179524692970785,1.6537331828317403,1.615441816790879,2.6389033665929964,1.8910473222180426,2.1826466248304417,1.7922360392464083
8,1.6528237903667249,1.5951419680832282,1.1200421607216617,1.4165704612371826,1.766218455686003,1.5757504040140402,1.1696277165536728,1.3599961274414694,1.3064721094134633,1.7645822585436548,1.5014438612042558,1.5154079835155279,1.1878975468615594,1.6840222267929967,1.2077397334661348,2.0780696401998435,1.6090108955326516,1.726080356105533,1.6546191988922914,2.1753480803771224,1.8825549527154144,1.8600668969965992,1.46356568926246,1.3776290001709053,1.7366956176188058,2.3639336871079446,1.797378514859251,2.2465400004968368,1.634903909032241
9,1.8947988037280117,1.8415059954714401,0.8144619291972848,1.4739851488502942,1.6348761845878497,1.7213603873387768,1.1204969379234373,2.189301368310695,1.1991788149187372,1.3330068034913918,1.3896671797115867,1.4470488549520997,1.2462642401072717,2.1837634376426083,1.036441245985886,2.5196259934029976,1.556961466740709,2.13055576417835,1.9365000798250178,2.7144547049322947,2.453767236595127,2.0976908000724377,2.1412045214887856,1.3328125478901818,1.9637149707966712,3.561985328579475,2.1818044962683096,3.607151595074691,1.8825773346049783
10,1.985578789105535,1.8632009682365347,1.7004283188910747,1.968686217901351,2.1188816851748156,1.6551642838782135,1.5779229736875642,1.7438830163072923,2.1838740973610524,1.7116319376937386,1.755769745268499,2.4048397948458526,1.377931391288071,1.6731319701958272,1.3035481536185833,2.261393160581355,2.3512466457828647,1.494674472484842,1.7836797550167804,1.8809309523924913,2.2726135843580098,2.3968786475444657,2.1347862524386785,2.0340466851745425,1.496585652907134,2.8916235348587422,2.486458390533579,3.1904625797831216,1.9894175877112994
11,1.8921498943854977,2.0440536529203563,1.151128763973471,1.7320776045661475,2.9823343817473518,1.2678272930133414,1.378724854429635,1.651079476318079,1.4072310789066935,1.9890243201403641,1.400199908974447,2.111930845023921,1.734741266854578,1.6462216777086334,1.5370074117216792,1.8396067234970481,1.8718978469748406,1.7071407958599296,1.5372276220233234,2.063920141165073,2.1538349801418453,2.5458030428636613,1.6497296508999881,2.152082318118292,1.3673918247375005,2.599885234413698,2.5169764163498067,2.0783451546325757,1.856200899554677
12,2.017204146476102,2.3887858742133714,0.9727293222067516,1.692618591959659,3.3744893560044815,1.2511167690298912,1.251698700965201,2.0593580067670016,1.5042600136005428,2.3767997271007855,1.3105172652195034,1.4295687609813086,1.925883347379158,2.254076526328134,1.5175323488950392,2.259432652946626,1.7802524211442314,2.4105745021901117,1.8493441076889565,2.2497590885451744,1.8978811438750467,2.8569190104683657,1.8790346789550798,2.7558908275330456,1.6130607959153753,2.467774219097976,2.1738184486985648,1.4514267732340318,1.961281602997904
13,2.3804736633867076,2.7178046318823816,0.9063193583987966,2.3489536995481686,3.382879639457007,1.5677142951005003,1.0762248537477013,2.714424792542288,1.736290307713958,2.774384117348724,1.484587099952051,1.7471126027727641,2.162948709538618,3.1021989175040443,1.371082416042438,2.907351447953918,2.3163499583860614,2.351233128809618,2.348821553704993,2.499781707500818,2.36488501185835,3.3577594720621993,2.5199242014580667,3.363773455639284,2.032960292976207,3.263197110759921,2.750190757991713,1.2171601117093143,2.3106042093466628
14,2.117350295989176,1.9877856555964413,1.60259912997964,2.0183318616080683,1.9656986511277563,1.7306776728255877,1.7150077113757778,1.6783065603880343,2.2763546661246217,1.9238047378210643,1.8411245534654745,2.3985661833527843,1.3640614416283465,1.9092214674932844,1.3302608616586622,2.5470235768127147,2.5403110944547023,1.7799616064857269,1.9030296492986163,2.1127277609239825,2.2321478613102035,2.784005195347386,2.0962146800654353,2.362577395147117,1.5215944510632495,3.703863256063612,2.520847402029289,3.0325009489940506,2.106615038238579
15,2.1270835900206206,2.127168142994145,1.3655788883682687,1.8772715451838615,3.1706451127695696,3.039514493266671,1.5965953799634225,1.825394392287513,2.0394985850244796,2.2628872145056547,1.8642186518876067,2.9307814461744193,1.5585947473109711,1.9019486208882044,1.691194075220683,2.0315753206944946,2.1801053331951876,1.9964339163102494,1.599192804098578,2.3736659302666143,2.0193150535055837,2.549157558203776,1.928737125879668,2.7953918090445837,1.5754349642361436,2.981200013969293,2.4461052274213935,2.3872078909811965,2.152400527542675
16,2.3072897266545827,2.528112178706896,1.1886360707060437,1.9740600181117343,3.540407423305652,2.9460532235954022,1.880957394769109,2.2728117378462334,1.8779485677263583,2.4814611414079324,2.0400761585722553,3.2252427927220184,1.6982061646461641,2.0489670791539836,1.7653065413257905,2.3784320905644187,2.506265810822571,2.3358026661960554,1.8937373469338632,2.412439672839269,2.4821954983113903,2.624362812585056,1.8597602534586537,3.245157387684623,1.7445316229524237,2.677404501429983,2.493818723492096,2.2347270563585764,2.309514145786095
